RECTANGLE: P=680.000000; S=28800.000000
RECTANGLE: P=300.000000; S=5600.000000
RECTANGLE: P=100.000000; S=400.000000
TRIANGLE: P=210.415955; S=1800.000000
TRIANGLE: P=80.000000; S=300.000000
TRIANGLE: P=144.339813; S=1000.000000
TRIANGLE: P=144.339813; S=1000.000000
CIRCLE: P=31.415926; S=78.539818
CIRCLE: P=31.415926; S=78.539818
CIRCLE: P=94.247780; S=706.858337
CIRCLE: P=157.079636; S=1963.495361
CIRCLE: P=157.079636; S=1963.495361
RECTANGLE: P=100.000000; S=400.000000
RECTANGLE: P=100.000000; S=400.000000
RECTANGLE: P=170.000000; S=1650.000000
RECTANGLE: P=170.000000; S=1650.000000
RECTANGLE: P=350.000000; S=5400.000000
CIRCLE: P=157.079636; S=1963.495361
CIRCLE: P=125.663704; S=1256.637085
RECTANGLE: P=350.000000; S=5400.000000
RECTANGLE: P=370.000000; S=6300.000000
RECTANGLE: P=370.000000; S=6300.000000
RECTANGLE: P=220.000000; S=2400.000000
RECTANGLE: P=220.000000; S=2400.000000
